Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume,Classification
5.01,115.11,23.26,0.31,0.53,29079.00,18622.10,17823.40,12519.00,4261.67,1452520.00,206.00,112.58,23.70,3.66,0.57,0.45,
0.66,115.92,20.03,0.23,0.42,21226.00,15994.20,14763.80,13672.00,2572.24,95965.00,24.00,114.09,20.25,3.49,0.68,0.03,
0.71,116.17,19.67,0.36,0.52,21008.00,14604.30,12049.60,11609.00,3156.75,131439.00,38.00,114.38,19.94,3.73,0.70,0.03,
0.19,115.98,19.52,0.39,0.47,14711.00,13772.00,12733.00,12733.00,810.60,41316.00,14.00,114.23,19.66,4.04,0.82,0.01,
0.24,115.84,19.94,0.25,0.44,14029.00,13374.30,12467.00,12467.00,662.24,40123.00,14.00,114.01,20.07,4.12,0.66,0.01,
4.55,126.96,19.68,0.11,0.81,26787.00,16923.10,15432.60,11075.00,4003.50,1116920.00,192.00,125.28,20.10,4.36,0.54,0.36,
0.74,115.92,20.35,0.32,0.35,18185.00,14571.20,13244.80,12539.00,1932.81,131141.00,36.00,114.04,20.44,3.67,0.63,0.03,
5.72,126.67,20.94,0.16,0.60,24256.00,15475.10,14796.00,10176.00,3088.10,1052310.00,232.00,124.79,21.31,4.52,0.42,0.35,
1.72,115.74,22.69,0.25,0.56,24156.00,17012.10,16003.20,12813.00,3168.14,323230.00,64.00,113.35,23.05,3.79,0.60,0.10,
3.22,116.01,24.14,0.21,0.63,28060.00,17619.60,16589.90,11747.00,3608.10,775262.00,138.00,113.29,24.65,4.20,0.57,0.24,
0.62,115.58,22.35,0.37,0.29,16363.00,14734.00,14270.50,12643.00,1224.95,117872.00,32.00,113.32,22.51,3.29,0.61,0.02,
0.73,115.54,21.93,0.26,0.48,27051.00,17372.90,16056.50,13584.00,4065.38,138983.00,32.00,113.31,22.12,4.35,0.63,0.03,
0.38,115.53,21.84,0.05,0.61,15868.00,14196.60,13460.90,12975.00,987.92,70983.00,22.00,113.27,21.97,5.87,0.55,0.01,
0.78,115.64,23.70,0.31,0.26,20039.00,16742.70,15670.60,14391.00,1898.37,117199.00,30.00,113.09,23.90,3.68,0.60,0.03,
1.28,115.79,23.69,0.60,0.26,21827.00,17766.20,17140.70,13829.00,2960.13,248727.00,54.00,113.18,24.07,4.25,0.61,0.07,
3.14,126.36,20.19,0.24,0.60,27318.00,16781.00,16088.50,11609.00,3325.25,604117.00,118.00,124.59,20.58,4.61,0.50,0.18,
2.90,115.89,22.86,0.17,0.71,26082.00,17257.30,15885.10,13592.00,3305.05,552232.00,114.00,113.43,23.21,5.04,0.49,0.16,
0.23,115.58,23.13,0.12,0.93,17986.00,16577.00,14761.00,14761.00,1347.69,49731.00,14.00,113.12,23.31,4.34,0.74,0.01,
1.20,122.29,23.70,0.18,0.80,16699.00,12932.90,12240.90,10964.00,1738.85,193993.00,52.00,119.87,23.93,3.81,0.63,0.06,
1.10,122.18,23.44,0.05,0.82,23669.00,14989.00,13564.00,10799.00,3690.87,149890.00,42.00,119.77,23.71,4.59,0.56,0.05,
0.85,122.04,23.81,0.09,0.32,19613.00,14094.10,13054.60,11260.00,2379.61,126847.00,38.00,119.57,23.98,4.73,0.57,0.03,
2.27,116.18,26.01,0.34,0.48,32686.00,17923.30,16537.50,13547.00,3787.00,483928.00,82.00,113.08,26.29,4.65,0.62,0.16,
0.15,116.10,26.67,0.25,0.44,16968.00,15616.70,14723.00,14723.00,971.97,46850.00,14.00,112.89,26.72,4.69,0.66,0.00,
0.26,116.36,26.45,0.12,0.93,21018.00,18623.70,15224.00,15224.00,2469.91,55871.00,14.00,113.12,26.74,5.26,0.60,0.01,
0.99,107.32,46.55,0.44,0.42,16715.00,13491.50,13410.50,10629.00,1763.69,134915.00,42.00,96.59,46.79,0.40,0.60,0.04,
1.65,106.96,45.57,0.15,0.68,20515.00,14088.80,13916.00,10087.00,2980.63,267688.00,68.00,96.59,45.93,0.73,0.65,0.10,
0.44,109.60,47.31,0.44,0.21,17422.00,14446.00,13103.10,11838.00,2143.61,57784.00,18.00,98.77,47.50,0.82,0.75,0.02,
1.75,114.06,50.28,0.28,0.66,25091.00,14020.80,12485.00,9501.00,3999.11,350519.00,74.00,99.32,56.08,0.60,0.73,0.14,
0.39,113.77,50.52,0.71,0.16,15268.00,13724.00,13098.80,12200.00,1043.19,68620.00,22.00,99.22,55.65,1.38,0.73,0.01,
2.20,107.51,46.42,0.40,0.47,20834.00,15138.40,14715.70,12228.00,1814.43,393598.00,96.00,96.79,46.80,1.13,0.51,0.11,
1.27,107.62,47.51,0.08,0.79,17845.00,13752.00,12869.70,10769.00,2080.12,247536.00,56.00,96.45,47.74,1.22,0.60,0.06,
1.92,108.20,47.55,0.53,0.33,20632.00,14120.30,12805.40,11181.00,2777.54,395367.00,88.00,96.97,47.98,0.75,0.62,0.12,
0.15,107.83,47.92,0.39,0.47,12862.00,12155.00,11304.00,11304.00,644.14,36465.00,14.00,96.54,48.03,0.46,0.82,0.00,
0.32,110.48,49.34,0.25,0.44,12751.00,11845.70,10441.00,10441.00,1006.98,35537.00,14.00,98.80,49.44,0.56,0.74,0.01,
1.36,110.82,49.46,0.22,0.74,21128.00,13958.30,13615.40,9329.00,2735.49,209375.00,52.00,99.05,49.70,1.07,0.70,0.09,
2.68,111.26,50.89,0.17,0.66,19777.00,14991.70,14332.90,10608.00,2484.05,509718.00,96.00,98.76,51.23,1.18,0.63,0.20,
3.62,106.06,37.79,0.47,0.33,25263.00,15574.20,14432.60,11997.00,3007.85,638541.00,146.00,98.92,38.22,1.75,0.43,0.18,
1.26,103.80,38.82,0.27,0.57,19987.00,12011.40,11558.90,9199.00,2545.82,204193.00,60.00,96.16,39.06,1.56,0.64,0.07,
5.59,106.16,38.67,0.38,0.46,24773.00,15303.60,13979.50,9162.00,3332.36,1147770.00,230.00,98.65,39.21,1.50,0.45,0.38,
0.30,106.25,39.88,0.20,0.54,14060.00,12001.20,11264.60,11151.00,1059.10,60006.00,22.00,98.41,40.03,1.34,0.72,0.01,
0.95,106.71,40.14,0.17,0.70,15947.00,12075.60,11318.50,10052.00,1685.15,108680.00,38.00,98.79,40.34,1.18,0.66,0.05,
0.41,106.55,40.31,0.39,0.38,15280.00,12026.30,10870.50,10263.00,1943.84,48105.00,18.00,98.55,40.47,1.41,0.76,0.02,
0.61,106.55,40.58,0.17,0.46,17379.00,12198.90,11119.70,9638.00,2439.87,85392.00,30.00,98.44,40.74,1.77,0.65,0.02,
1.31,110.78,50.08,0.39,0.29,22259.00,14411.90,14382.40,9812.00,2602.57,230590.00,56.00,98.62,50.45,1.41,0.68,0.08,
2.35,111.91,50.69,0.21,0.82,20627.00,13699.60,12611.40,9290.00,2756.00,383590.00,100.00,98.94,52.29,1.22,0.54,0.13,
0.14,111.55,51.32,0.25,0.44,11884.00,10500.30,9647.00,9647.00,987.25,31501.00,14.00,98.51,52.34,0.68,0.69,0.00,
0.46,112.73,50.48,0.31,0.47,12801.00,10221.50,9472.41,8519.00,1459.36,61329.00,26.00,99.31,53.35,0.48,0.77,0.02,
0.66,112.86,50.47,0.18,0.46,18990.00,14527.00,13723.90,11742.00,2235.99,87162.00,26.00,99.34,53.56,1.14,0.74,0.03,
0.97,113.17,49.74,0.35,0.53,20655.00,14718.30,13473.50,12064.00,2387.87,132465.00,32.00,99.91,53.14,1.38,0.72,0.06,
1.43,113.30,50.37,0.23,0.58,20303.00,13812.30,11974.80,9696.00,3182.17,262434.00,56.00,99.21,54.71,1.20,0.67,0.09,
0.78,113.50,50.56,0.31,0.58,20515.00,15489.60,13013.10,12513.00,2838.24,123917.00,30.00,99.16,55.20,1.34,0.75,0.04,
3.82,114.26,49.96,0.45,0.33,26899.00,16087.50,15326.80,11307.00,3827.98,836550.00,160.00,99.49,56.15,1.55,0.53,0.27,
3.42,104.82,41.59,0.23,0.61,23999.00,14629.00,13476.60,9594.00,3439.23,702192.00,144.00,96.06,41.93,1.40,0.57,0.25,
0.25,105.20,41.97,0.25,0.44,17948.00,14356.30,11520.00,11520.00,2678.02,43069.00,14.00,96.40,42.10,1.44,0.71,0.01,
0.56,106.47,41.85,0.27,0.63,16694.00,12893.30,11677.00,11011.00,1909.04,77360.00,24.00,97.82,42.01,1.63,0.73,0.02,
0.24,105.55,42.47,0.08,0.53,13736.00,11096.30,10698.40,8783.00,1766.44,44385.00,18.00,96.58,42.57,0.83,0.60,0.01,
4.30,105.89,42.43,0.45,0.40,32008.00,16643.00,15268.90,11699.00,3875.66,932006.00,172.00,96.73,43.05,1.91,0.54,0.33,
0.47,107.99,47.18,0.23,0.37,18883.00,15395.80,12867.30,12245.00,2881.96,61583.00,18.00,97.03,47.40,0.63,0.74,0.02,
0.38,108.18,47.28,0.39,0.47,26847.00,20068.70,15922.00,15922.00,4832.75,60206.00,14.00,97.20,47.49,1.02,0.80,0.02,
0.72,108.24,47.59,0.31,0.32,21811.00,16427.90,14783.20,13443.00,2589.19,114995.00,30.00,97.12,47.78,1.46,0.55,0.02,
0.21,109.45,47.33,0.25,0.44,12030.00,10918.30,9295.00,9295.00,1173.72,32755.00,14.00,98.62,47.45,0.58,0.65,0.00,
7.58,109.55,46.86,0.14,0.80,29841.00,16098.90,15449.20,10450.00,3861.78,1706490.00,300.00,98.62,47.66,2.19,0.44,0.57,
2.45,108.53,49.49,0.21,0.76,25773.00,16507.30,15048.20,11169.00,3903.28,693306.00,108.00,96.39,49.85,1.74,0.74,0.23,
0.11,108.46,49.98,0.25,0.44,12891.00,12713.70,12579.00,12579.00,130.87,38141.00,14.00,96.21,50.01,2.79,0.63,0.00,
5.97,110.11,52.32,0.27,0.63,41157.00,19351.80,16962.40,11379.00,5933.21,1857780.00,250.00,96.64,52.75,1.60,0.56,0.57,
0.62,110.84,52.24,0.57,0.28,18164.00,16735.00,17574.00,14480.00,1501.44,133880.00,30.00,97.45,52.76,2.39,0.72,0.03,
0.14,109.71,52.58,0.25,0.44,17384.00,15869.00,14747.00,14747.00,1111.84,47607.00,14.00,96.22,52.64,2.82,0.69,0.00,
6.07,111.23,52.29,0.44,0.26,32368.00,17008.70,16024.30,9252.00,4582.17,1751900.00,256.00,97.00,54.42,1.53,0.54,0.56,
1.57,111.97,52.62,0.13,0.70,20548.00,14231.50,12425.00,9829.00,3187.07,270399.00,70.00,96.98,55.96,1.65,0.56,0.08,
2.57,104.71,38.09,0.27,0.49,27175.00,15759.30,14317.00,10031.00,4043.99,457021.00,104.00,97.39,38.39,2.11,0.56,0.16,
0.12,104.47,38.50,0.25,0.44,11862.00,11211.00,10641.00,10641.00,501.75,33633.00,14.00,97.08,38.57,1.58,0.69,0.00,
1.85,107.02,38.65,0.26,0.67,17843.00,13500.50,13246.90,10580.00,1869.54,297011.00,72.00,99.70,38.86,1.76,0.59,0.11,
2.00,105.84,38.62,0.25,0.60,23856.00,16961.20,15566.90,13246.00,3177.29,339223.00,76.00,98.39,38.96,1.80,0.56,0.11,
2.81,105.13,40.33,0.40,0.42,18704.00,13770.80,13324.10,10743.00,2119.56,481977.00,118.00,96.90,40.72,1.86,0.52,0.16,
5.33,108.40,48.57,0.25,0.60,28431.00,16008.10,15339.50,10509.00,3337.82,1280650.00,226.00,96.73,48.90,1.83,0.50,0.40,
0.21,109.15,51.53,0.00,1.92,15425.00,13471.30,12273.00,12273.00,1393.24,40414.00,14.00,96.16,51.61,1.66,0.62,0.00,
0.55,109.10,51.25,0.25,0.44,24595.00,21498.70,17079.00,17079.00,3207.91,64496.00,18.00,96.18,51.46,2.03,0.71,0.02,
0.86,113.01,50.08,0.19,0.31,16373.00,13170.80,12840.10,11084.00,1556.10,118537.00,34.00,99.67,53.24,1.64,0.64,0.04,
1.36,113.34,49.52,0.31,0.59,25660.00,14206.90,12189.30,9985.00,3887.41,227310.00,54.00,100.10,53.12,1.83,0.64,0.08,
1.48,113.45,50.19,0.36,0.53,24922.00,14585.10,13979.30,11454.00,2933.04,291702.00,62.00,99.35,54.74,1.95,0.69,0.10,
2.69,113.01,51.50,0.16,0.49,22568.00,15467.90,14702.60,10215.00,2992.02,510441.00,102.00,98.01,56.23,1.82,0.57,0.18,
0.48,103.83,38.77,0.39,0.38,16738.00,14178.30,12912.40,12867.00,1568.83,56713.00,18.00,96.24,38.91,2.19,0.77,0.02,
2.44,106.73,39.97,0.14,0.83,19674.00,13745.30,12781.00,10851.00,2306.71,412358.00,104.00,98.80,40.31,2.25,0.53,0.14,
0.43,107.14,40.12,0.39,0.38,14933.00,13867.80,14227.20,12065.00,1078.97,55471.00,18.00,99.24,40.30,2.50,0.78,0.02,
1.87,106.58,41.72,0.36,0.53,30027.00,14963.80,14011.10,10687.00,3750.05,404023.00,82.00,97.94,41.98,2.25,0.67,0.13,
0.82,108.36,43.93,0.09,0.85,14300.00,11085.30,11089.30,8592.00,1655.43,110853.00,38.00,98.96,44.11,1.78,0.61,0.03,
1.78,107.74,43.47,0.27,0.46,23914.00,16017.10,15337.00,11222.00,3324.65,272290.00,64.00,98.38,43.88,2.01,0.55,0.09,
1.90,108.89,45.51,0.21,0.68,20896.00,13623.80,13378.40,10820.00,2216.60,299724.00,80.00,98.75,45.84,1.93,0.54,0.10,
0.31,108.83,45.81,0.16,0.84,11677.00,10991.80,10773.00,10347.00,490.35,43967.00,18.00,98.66,45.92,1.19,0.70,0.01,
0.37,108.58,45.25,0.25,0.44,17806.00,15989.30,14143.00,14143.00,1495.56,47968.00,14.00,98.62,45.39,2.06,0.79,0.01,
0.48,109.06,45.51,0.20,0.61,17820.00,13813.80,11977.00,11977.00,2271.31,69069.00,22.00,98.93,45.82,2.51,0.77,0.02,
0.24,108.69,46.01,0.47,0.32,16121.00,14439.30,14230.10,12712.00,1215.39,57757.00,18.00,98.37,46.17,2.25,0.87,0.01,
0.87,108.47,45.99,0.50,0.20,23282.00,16632.20,16080.90,13153.00,2631.65,149690.00,36.00,98.09,46.24,2.21,0.71,0.05,
0.42,108.55,48.11,0.16,0.84,21193.00,15382.30,13237.60,12812.00,3396.23,61529.00,18.00,97.17,48.35,1.24,0.71,0.02,
1.18,108.99,48.31,0.18,0.66,24393.00,17605.60,16854.90,12554.00,2858.28,228873.00,50.00,97.56,48.54,2.10,0.67,0.07,
0.23,108.54,48.03,0.39,0.47,17012.00,15221.00,13507.00,13507.00,1431.94,45663.00,14.00,97.25,48.17,1.63,0.70,0.01,
4.82,111.58,50.72,0.21,0.82,30188.00,16849.60,16060.20,11829.00,3544.99,1128920.00,206.00,98.81,51.77,2.30,0.50,0.35,
0.48,112.87,50.90,0.29,0.46,21618.00,16072.60,14529.70,12545.00,3085.67,80363.00,22.00,98.81,54.52,2.18,0.74,0.02,
0.24,112.99,50.67,0.25,0.44,17557.00,15829.00,14896.00,14896.00,1223.18,47487.00,14.00,99.20,54.00,3.07,0.73,0.01,
2.41,113.45,51.10,0.28,0.67,22465.00,15692.10,14357.50,11425.00,2834.99,423687.00,100.00,98.48,56.30,2.00,0.54,0.14,
2.72,104.95,37.73,0.40,0.42,28894.00,16953.40,15758.90,11650.00,4170.46,610322.00,106.00,97.76,38.09,2.68,0.62,0.21,
0.15,105.86,42.19,0.25,0.44,14134.00,12149.70,10690.00,10690.00,1454.12,36449.00,14.00,97.05,42.26,1.41,0.71,0.00,
2.03,106.00,41.47,0.35,0.53,25029.00,16226.20,16009.10,12411.00,2846.79,503013.00,86.00,97.36,41.83,2.72,0.72,0.16,
3.04,107.25,42.59,0.27,0.55,31209.00,16652.10,15190.40,12224.00,3954.60,666085.00,122.00,98.23,42.96,2.67,0.58,0.22,
3.70,106.82,43.02,0.36,0.46,33335.00,18403.10,16866.20,12042.00,4602.71,846543.00,146.00,97.59,43.38,2.43,0.54,0.26,
1.22,104.71,43.25,0.44,0.40,22996.00,16219.40,15041.20,13480.00,2676.80,227071.00,56.00,95.22,43.51,2.47,0.58,0.06,
0.26,107.62,44.21,0.25,0.44,17457.00,14972.70,12618.00,12618.00,1977.64,44918.00,14.00,98.03,44.37,1.99,0.73,0.01,
0.84,107.54,43.96,0.66,0.12,20215.00,16624.80,16718.80,13634.00,1944.86,132998.00,34.00,97.99,44.23,2.57,0.67,0.04,
0.34,107.78,45.71,0.32,0.46,18253.00,14963.80,14247.20,12967.00,1977.90,59855.00,18.00,97.51,45.88,1.79,0.77,0.01,
0.46,108.20,45.65,0.08,0.87,19609.00,15423.80,14209.60,13573.00,2146.93,77119.00,22.00,97.98,45.85,2.05,0.67,0.02,
2.28,107.68,45.20,0.53,0.32,27585.00,16318.20,15038.10,12851.00,3478.13,473228.00,100.00,97.53,45.57,2.60,0.58,0.14,
3.67,107.96,46.01,0.42,0.42,22473.00,16855.50,16352.00,13201.00,2474.21,809063.00,152.00,97.41,46.49,2.28,0.54,0.26,
0.52,108.53,46.69,0.09,0.41,18936.00,14406.40,13425.50,12694.00,1937.85,100845.00,30.00,97.88,46.84,2.10,0.56,0.02,
0.14,108.80,46.98,0.27,0.00,15348.00,13671.30,12732.00,12732.00,1188.45,41014.00,14.00,98.08,47.07,1.68,0.73,0.00,
1.38,108.35,47.72,0.45,0.38,21498.00,15364.10,13993.60,12306.00,2801.14,291918.00,66.00,97.12,47.96,2.70,0.66,0.08,
0.58,109.37,48.27,0.39,0.34,22090.00,16716.80,15622.10,13421.00,2685.02,100301.00,26.00,97.98,48.54,2.52,0.75,0.03,
0.24,109.44,48.61,0.39,0.47,18214.00,14818.30,12806.00,12806.00,2414.79,44455.00,14.00,97.94,48.75,2.83,0.76,0.01,
4.39,109.69,49.67,0.22,0.52,28741.00,15065.20,14201.50,10223.00,3200.17,813521.00,180.00,97.50,50.22,2.14,0.41,0.23,
0.40,109.57,50.63,0.25,0.44,20028.00,17248.70,15620.00,15620.00,1974.96,51746.00,14.00,97.10,50.74,2.03,0.79,0.02,
5.59,110.92,49.66,0.30,0.50,32366.00,17236.80,16188.00,12922.00,3821.05,1327230.00,228.00,98.81,50.33,2.53,0.50,0.44,
0.28,111.14,50.37,0.25,0.44,15190.00,14746.70,13882.00,13882.00,611.47,44240.00,14.00,99.01,50.45,1.77,0.69,0.01,
2.24,109.22,50.96,0.55,0.21,28418.00,18283.90,17124.80,13592.00,3521.29,530233.00,88.00,96.38,51.33,2.56,0.63,0.16,
5.26,110.11,52.75,0.13,0.80,30111.00,18922.10,17625.50,12549.00,3953.36,1286710.00,212.00,96.37,53.19,2.53,0.46,0.35,
3.68,111.91,52.06,0.54,0.30,33532.00,17251.00,15849.90,12672.00,3832.65,724543.00,150.00,97.49,54.89,2.44,0.45,0.20,
0.29,111.85,52.30,0.10,0.00,16370.00,15361.50,15758.80,13302.00,1208.69,61446.00,18.00,97.51,54.69,3.42,0.64,0.01,
2.72,105.73,38.33,0.21,0.63,27353.00,17277.00,16071.50,12389.00,3572.07,656525.00,116.00,98.38,38.64,2.72,0.60,0.19,
2.12,105.90,40.89,0.20,0.73,21527.00,15042.60,14374.70,11298.00,2534.11,406149.00,90.00,97.54,41.15,2.75,0.61,0.14,
1.96,110.46,50.57,0.38,0.47,33620.00,19175.30,18847.30,13923.00,4562.14,556083.00,82.00,98.01,50.84,2.93,0.76,0.17,
0.30,110.57,51.06,0.39,0.47,17205.00,15469.70,13918.00,13918.00,1348.18,46409.00,14.00,97.95,51.22,2.55,0.64,0.01,
0.54,111.14,50.95,0.07,0.82,19377.00,16675.70,15695.80,14665.00,1676.86,100054.00,26.00,98.64,51.14,2.71,0.67,0.02,
0.59,111.46,50.84,0.16,0.58,21954.00,18621.80,15289.50,14234.00,3205.89,93109.00,22.00,98.94,51.25,2.89,0.73,0.03,
0.86,110.95,51.93,0.56,0.30,28998.00,18895.40,16526.30,14148.00,4596.71,151163.00,32.00,97.73,52.46,2.68,0.75,0.05,
0.53,110.92,51.82,0.58,0.28,18905.00,16903.50,16565.00,13871.00,1698.73,101421.00,24.00,97.88,52.09,2.93,0.80,0.03,
0.70,110.65,51.74,0.40,0.47,21557.00,15811.90,14283.80,13016.00,2545.82,142307.00,36.00,97.61,52.01,3.25,0.73,0.03,
0.84,109.04,52.24,0.38,0.50,32323.00,19676.00,16759.00,14693.00,5152.76,177084.00,36.00,95.53,52.49,3.03,0.72,0.04,
0.31,111.65,52.31,0.39,0.47,18489.00,17432.30,16455.00,16455.00,832.25,52297.00,14.00,97.50,54.34,2.59,0.78,0.01,
0.84,111.68,52.12,0.61,0.25,26987.00,19823.90,18188.30,17402.00,2956.20,158591.00,32.00,97.61,54.20,2.94,0.68,0.04,
0.20,112.52,51.85,0.25,0.44,16930.00,15268.00,13012.00,13012.00,1653.74,45804.00,14.00,97.96,55.30,2.52,0.78,0.01,
3.27,112.38,51.64,0.37,0.42,25679.00,17511.20,16606.50,13645.00,3224.40,735472.00,134.00,98.03,54.85,3.04,0.51,0.20,
2.60,112.24,50.83,0.43,0.42,21647.00,16883.90,16156.30,13427.00,2463.50,540285.00,112.00,98.66,53.44,2.94,0.53,0.15,
0.23,111.95,51.33,0.03,0.98,16306.00,14406.30,13283.00,13283.00,1350.72,43219.00,14.00,98.50,53.09,3.59,0.48,0.00,
0.26,112.33,51.29,0.25,0.44,16776.00,15206.00,13759.00,13759.00,1234.75,45618.00,14.00,98.54,53.81,3.61,0.73,0.01,
0.28,111.14,52.38,0.39,0.47,19142.00,17127.30,13937.00,13937.00,2281.76,51382.00,14.00,97.39,53.50,1.97,0.82,0.01,
3.20,110.97,52.53,0.31,0.60,37357.00,19486.00,18041.90,13811.00,4625.05,818412.00,134.00,97.03,53.76,2.94,0.56,0.22,
0.28,110.79,52.73,0.32,0.46,15984.00,15048.30,14852.00,13569.00,953.01,60193.00,18.00,97.06,53.28,4.01,0.70,0.01,
2.28,112.07,51.40,0.35,0.55,24968.00,18266.40,17227.00,14427.00,3195.11,621058.00,108.00,98.17,53.98,2.92,0.63,0.16,
2.80,107.11,43.45,0.22,0.70,25800.00,16646.20,15524.20,12647.00,2932.71,649200.00,126.00,97.70,43.80,3.12,0.57,0.19,
1.66,106.94,49.89,0.29,0.57,24147.00,17495.10,16486.70,13716.00,2818.61,279922.00,66.00,94.34,50.24,3.33,0.54,0.08,
0.35,107.16,50.07,0.08,0.53,17677.00,16363.30,16532.90,14061.00,1389.16,65453.00,18.00,94.61,50.15,4.15,0.61,0.01,
0.78,107.93,51.11,0.18,0.42,17657.00,14615.80,14209.30,12106.00,1987.52,146158.00,42.00,94.93,51.27,2.80,0.57,0.03,
1.14,108.04,50.78,0.49,0.31,30344.00,19018.00,16991.80,15352.00,3956.03,266252.00,46.00,95.14,51.06,3.65,0.71,0.07,
0.32,108.62,52.54,0.32,0.46,16055.00,15518.50,15610.50,14406.00,664.22,62074.00,18.00,94.80,52.71,5.79,0.77,0.01,
1.82,109.21,52.13,0.44,0.42,28870.00,19599.50,18948.30,15641.00,3003.93,431190.00,76.00,95.73,52.44,3.59,0.58,0.10,
1.82,110.97,52.15,0.27,0.61,22489.00,17318.30,16708.40,13835.00,2252.36,329047.00,74.00,97.49,52.92,3.36,0.56,0.10,
2.54,109.13,51.14,0.20,0.79,25175.00,18573.00,17796.40,13727.00,3277.79,631483.00,102.00,96.17,51.46,3.79,0.59,0.17,
5.41,109.35,52.57,0.55,0.27,34692.00,19507.30,17633.90,14381.00,4297.36,1365510.00,218.00,95.52,53.08,3.93,0.50,0.42,
0.34,112.42,51.67,0.39,0.38,15835.00,15079.00,14934.20,13864.00,778.33,60316.00,18.00,98.09,54.80,3.77,0.76,0.01,
6.04,108.70,51.24,0.25,0.67,35826.00,21579.80,20338.30,14848.00,4161.83,1985340.00,232.00,95.46,51.84,4.03,0.54,0.56,
0.32,108.29,51.12,0.25,0.50,23138.00,18419.50,16451.60,16208.00,2796.94,73678.00,18.00,95.30,51.25,4.34,0.70,0.01,
0.76,105.61,43.79,0.18,0.38,16440.00,13346.80,12910.30,11392.00,1478.85,120121.00,36.00,96.00,43.97,1.52,0.49,0.02,
0.11,105.45,44.14,0.00,1.92,14819.00,13292.00,12274.00,12274.00,1099.57,39876.00,14.00,95.69,44.27,1.95,0.69,0.00,
0.19,105.63,44.08,0.39,0.47,17267.00,14864.30,12755.00,12755.00,1853.66,44593.00,14.00,95.91,44.20,2.26,0.77,0.01,
0.52,105.69,44.47,0.26,0.37,18826.00,15218.50,14522.40,13205.00,1758.40,91311.00,26.00,95.75,44.69,2.43,0.65,0.02,
4.56,107.36,50.92,0.29,0.60,31493.00,21204.90,20239.40,16719.00,3451.17,1102650.00,162.00,94.13,51.43,4.58,0.46,0.29,
0.30,107.02,50.91,0.39,0.47,22748.00,20540.70,18231.00,18231.00,1845.48,61622.00,14.00,93.87,51.06,5.83,0.86,0.01,
1.84,116.59,49.59,0.57,0.27,36503.00,19696.20,17860.10,13108.00,6091.25,512102.00,72.00,99.93,60.06,0.29,0.78,0.16,
0.52,116.45,49.80,0.32,0.46,21513.00,16925.50,15434.50,14658.00,2696.99,67702.00,18.00,99.98,59.70,0.66,0.75,0.02,
0.96,117.06,49.20,0.35,0.29,20361.00,16472.80,15855.30,14258.00,1888.60,148255.00,36.00,100.47,60.08,1.05,0.63,0.04,
0.57,114.72,51.46,0.26,0.67,17296.00,13215.10,11686.80,11435.00,2055.93,92506.00,28.00,98.27,59.19,0.44,0.74,0.03,
1.81,119.62,49.74,0.41,0.47,25915.00,15963.90,14072.80,10907.00,4228.76,431025.00,78.00,99.77,65.98,0.53,0.69,0.13,
1.36,116.73,49.64,0.71,0.18,25765.00,17341.80,16249.90,13209.00,3725.93,312153.00,58.00,99.98,60.23,0.81,0.74,0.10,
0.34,116.41,50.93,0.49,0.28,13966.00,12751.20,11780.50,11625.00,987.29,63756.00,22.00,98.83,61.52,0.38,0.65,0.01,
3.02,116.32,51.18,0.09,0.91,24959.00,15909.70,14469.20,10675.00,3448.32,620480.00,128.00,98.44,61.96,0.89,0.54,0.20,
1.44,117.94,50.65,0.66,0.21,19893.00,14787.20,13453.50,11307.00,2568.05,266170.00,60.00,98.98,64.13,0.70,0.72,0.10,
2.97,115.33,49.46,0.20,0.43,24859.00,14374.30,13373.60,10375.00,3291.16,503100.00,128.00,100.14,57.21,1.16,0.49,0.16,
0.89,116.57,49.56,0.64,0.23,21155.00,15023.20,13948.80,12494.00,2520.02,180278.00,42.00,100.11,59.73,1.19,0.76,0.05,
4.36,115.62,50.96,0.29,0.48,38285.00,19376.30,16488.90,11459.00,6364.46,1356340.00,178.00,98.43,60.65,0.92,0.61,0.41,
0.29,119.81,48.27,0.25,0.44,14957.00,14220.30,13161.00,13161.00,767.90,42661.00,14.00,101.56,63.56,0.66,0.74,0.01,
0.15,119.56,48.48,0.25,0.44,14869.00,13766.70,13002.00,13002.00,798.72,41300.00,14.00,101.39,63.36,0.83,0.65,0.00,
1.20,120.00,47.92,0.28,0.67,20288.00,15192.50,15303.60,10974.00,2426.29,243080.00,50.00,101.78,63.56,1.27,0.75,0.08,
8.26,119.84,47.89,0.29,0.43,39269.00,19865.30,18352.60,11525.00,5460.97,2701690.00,332.00,101.23,64.13,1.29,0.51,0.81,
0.88,121.76,48.08,0.69,0.17,18055.00,13229.80,11828.50,10164.00,2426.76,119068.00,38.00,101.55,67.18,1.18,0.60,0.04,
0.34,121.60,48.42,0.32,0.46,14578.00,13662.30,13773.80,11972.00,1018.11,54649.00,18.00,101.34,67.17,1.92,0.72,0.01,
0.17,121.82,48.34,0.12,0.93,13833.00,13238.30,12918.00,12918.00,420.93,39715.00,14.00,101.55,67.26,2.24,0.59,0.00,
2.37,121.31,49.16,0.14,0.80,24512.00,15247.90,14712.80,10952.00,3205.80,518427.00,110.00,100.40,68.07,0.85,0.60,0.16,
