Value,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
,0.86,157.88,8.18,0.48,0.36,9925.00,6156.40,5596.93,5044.00,1410.70,61564.00,38.00,68.87,141.38,13.99,0.64,0.04
,0.15,154.56,12.34,0.39,0.47,6154.00,5150.00,4477.00,4477.00,723.53,15450.00,14.00,69.27,137.46,13.95,0.80,0.00
,3.15,155.30,11.19,0.67,0.22,11573.00,6829.08,6395.70,5076.00,1505.62,320967.00,132.00,69.45,138.17,14.35,0.60,0.25
,4.36,156.50,9.80,0.38,0.39,13719.00,7865.68,7353.74,5612.00,1716.78,416881.00,162.00,69.60,139.48,13.91,0.49,0.29
,0.25,156.82,9.62,0.39,0.47,7588.00,7116.67,6261.00,6261.00,606.09,21350.00,14.00,68.95,140.18,13.65,0.77,0.01
,0.36,156.74,9.79,0.25,0.44,8792.00,8507.00,8060.00,8060.00,320.04,25521.00,14.00,69.04,140.01,14.05,0.75,0.01
,0.16,156.92,10.25,0.25,0.44,6334.00,5688.33,5349.00,5349.00,456.75,17065.00,14.00,70.08,139.60,15.02,0.70,0.00
,0.08,157.14,10.31,0.39,0.47,5341.00,4960.67,4623.00,4623.00,294.67,14882.00,14.00,70.61,139.56,15.15,0.73,0.00
,0.21,193.48,0.02,0.25,0.44,6621.00,6022.00,5148.00,5148.00,632.01,18066.00,14.00,121.82,149.87,11.69,0.66,0.00
,0.87,193.70,0.00,0.53,0.29,12196.00,8803.43,7153.57,6355.00,1981.09,61624.00,26.00,122.15,149.83,12.28,0.70,0.04
,1.31,193.63,0.25,0.12,0.56,12029.00,5928.12,5254.13,4711.00,1633.02,100778.00,68.00,122.32,149.49,13.38,0.53,0.05
,0.35,192.71,0.00,0.10,0.57,8079.00,7258.50,6954.66,6734.00,509.57,29034.00,18.00,120.50,149.87,12.43,0.69,0.01
,0.27,192.22,0.01,0.10,0.57,8045.00,7267.50,6730.12,6264.00,785.05,29070.00,18.00,119.64,149.87,13.11,0.62,0.01
,0.43,192.60,0.00,0.54,0.32,11025.00,8260.40,7150.55,6960.00,1498.51,41302.00,22.00,120.31,149.83,13.04,0.77,0.02
,0.70,192.37,0.00,0.12,0.69,13454.00,11564.60,11043.00,7739.00,2087.74,57823.00,22.00,120.00,149.76,13.37,0.70,0.03
,0.34,191.82,1.13,0.39,0.38,7558.00,6164.00,5170.87,4577.00,1306.56,24656.00,18.00,120.49,148.68,13.03,0.81,0.01
,0.30,191.94,0.00,0.25,0.44,7760.00,7046.00,6464.00,6464.00,537.26,21138.00,14.00,119.28,149.82,12.97,0.73,0.01
,0.77,191.67,0.28,0.32,0.31,9752.00,7593.57,6782.73,6115.00,1275.28,53155.00,28.00,119.27,149.46,13.28,0.71,0.04
,0.74,192.05,0.63,0.25,0.37,8865.00,7074.43,5835.09,5673.00,1227.17,49521.00,28.00,120.41,149.05,12.96,0.65,0.03
,2.42,192.27,0.55,0.17,0.78,17096.00,7532.13,7144.01,4906.00,2235.72,225964.00,98.00,120.58,149.12,13.84,0.57,0.15
,0.31,192.50,0.28,0.39,0.47,8947.00,7980.33,6193.00,6193.00,1265.24,23941.00,14.00,120.52,149.48,13.65,0.72,0.01
,0.26,191.45,0.57,0.25,0.44,5998.00,5649.33,5141.00,5141.00,367.63,16948.00,14.00,119.18,149.29,12.69,0.74,0.01
,1.25,191.77,0.29,0.17,0.85,13469.00,8630.67,7621.34,5984.00,2152.16,129460.00,58.00,119.39,149.41,14.07,0.60,0.06
,0.14,191.76,0.68,0.39,0.47,7215.00,6882.33,6579.00,6579.00,260.47,20647.00,14.00,119.66,149.11,14.85,0.82,0.00
,1.19,192.05,0.00,0.47,0.22,13819.00,9743.90,8607.88,7436.00,2266.41,97439.00,40.00,119.43,149.75,13.88,0.56,0.05
,0.24,191.86,0.00,0.39,0.47,8414.00,7859.67,7372.00,7372.00,428.00,23579.00,14.00,119.02,149.83,13.96,0.76,0.01
,0.71,192.31,0.00,0.28,0.66,14066.00,9580.13,8212.50,7579.00,2192.50,76641.00,32.00,119.82,149.76,14.07,0.74,0.04
,0.37,144.63,28.60,0.20,0.61,7672.00,6659.40,6110.13,5712.00,824.60,33297.00,22.00,77.72,121.13,14.32,0.67,0.01
,0.90,144.61,28.83,0.36,0.47,13259.00,8748.40,8499.88,6007.00,2038.48,87484.00,40.00,78.02,120.88,14.63,0.69,0.05
,3.17,145.80,27.04,0.31,0.53,13174.00,7319.95,6967.08,5067.00,1651.88,278158.00,118.00,77.60,122.60,14.38,0.55,0.22
,0.46,146.15,26.93,0.67,0.11,8574.00,7206.20,6810.05,6708.00,695.60,36031.00,22.00,78.13,122.72,14.04,0.67,0.02
,0.12,146.02,27.45,0.39,0.47,5896.00,5438.33,4951.00,4951.00,386.36,16315.00,14.00,78.21,122.37,15.14,0.82,0.00
,1.45,145.87,28.15,0.37,0.41,13950.00,8028.87,7407.73,5405.00,2146.03,120433.00,54.00,79.36,121.49,14.85,0.63,0.08
,1.14,145.49,28.67,0.22,0.58,10312.00,7782.36,7237.78,6377.00,1235.79,85606.00,38.00,79.26,121.06,15.12,0.63,0.06
,0.30,145.72,28.21,0.32,0.46,8449.00,6780.25,6039.57,6011.00,993.41,27121.00,18.00,78.95,121.51,15.40,0.77,0.01
,0.12,143.83,30.66,0.39,0.47,5061.00,4911.00,4792.00,4792.00,111.99,14733.00,14.00,79.10,119.21,14.86,0.74,0.00
,1.11,143.61,30.71,0.51,0.28,12227.00,8020.92,8027.59,5060.00,1917.22,96251.00,38.00,78.96,118.97,15.29,0.74,0.07
,0.18,143.99,29.59,0.25,0.44,5340.00,4957.33,4736.00,4736.00,271.69,14872.00,14.00,78.08,120.29,12.93,0.69,0.00
,0.18,144.31,29.16,0.25,0.44,5926.00,5540.67,4903.00,4903.00,454.16,16622.00,14.00,78.12,120.66,12.78,0.73,0.00
,0.19,144.05,29.59,0.25,0.44,6266.00,5344.00,4310.00,4310.00,802.45,16032.00,14.00,78.27,120.20,13.31,0.74,0.00
,4.41,144.26,29.15,0.55,0.25,16169.00,8764.79,8133.06,5883.00,2133.21,490828.00,160.00,78.37,120.20,14.94,0.52,0.33
,0.96,145.23,28.99,0.11,0.65,11042.00,7829.56,7148.09,6427.00,1367.15,70466.00,32.00,79.33,120.79,14.45,0.65,0.05
,0.53,145.63,28.67,0.16,0.84,10996.00,8679.50,8066.18,5751.00,1987.14,34718.00,18.00,79.49,121.06,15.30,0.70,0.02
,0.43,144.11,28.86,0.32,0.46,8645.00,5861.00,5343.41,4001.00,1706.06,23444.00,18.00,76.89,120.91,15.42,0.79,0.02
,6.27,144.04,29.43,0.32,0.58,13982.00,8929.28,8362.06,5367.00,2084.57,678625.00,248.00,78.29,119.89,15.66,0.46,0.46
,4.15,144.94,28.53,0.24,0.48,13081.00,8863.05,8565.84,5164.00,1717.86,345659.00,142.00,78.32,120.96,15.56,0.44,0.23
,0.34,145.44,28.24,0.25,0.44,9422.00,8559.67,8043.00,8043.00,613.74,25679.00,14.00,78.42,121.56,14.97,0.76,0.01
,2.00,143.86,30.55,0.26,0.64,17635.00,10528.20,10455.90,5929.00,2916.11,231621.00,68.00,79.01,119.14,16.00,0.63,0.13
,1.38,145.03,29.40,0.22,0.48,10554.00,7913.85,7168.16,6109.00,1269.20,102880.00,48.00,79.37,120.35,15.74,0.59,0.07
,3.67,144.70,29.73,0.18,0.32,16817.00,9151.87,8639.00,5681.00,2376.27,356923.00,130.00,79.38,119.83,16.63,0.47,0.22
,0.50,145.09,29.51,0.13,0.33,8152.00,6880.60,6193.34,5499.00,964.74,34403.00,22.00,79.22,120.29,17.46,0.63,0.02
,0.38,144.67,29.27,0.23,0.37,11019.00,8447.00,6900.77,6785.00,1744.11,33788.00,18.00,78.42,120.49,16.23,0.75,0.01
,0.81,144.66,28.96,0.38,0.39,11430.00,8282.88,6982.88,5766.00,1989.27,66263.00,32.00,78.03,120.70,16.39,0.70,0.04
,4.75,143.82,30.46,0.18,0.51,17782.00,9389.44,8302.31,5648.00,2535.24,516419.00,178.00,79.03,118.98,16.72,0.48,0.33
,0.24,143.43,31.22,0.25,0.44,7205.00,6839.33,6396.00,6396.00,334.80,20518.00,14.00,78.87,118.61,16.77,0.64,0.01
,2.58,144.31,29.99,0.22,0.53,13982.00,9346.93,8650.91,6400.00,1905.41,252367.00,94.00,79.11,119.57,16.39,0.53,0.15
,1.79,143.82,29.65,0.29,0.49,9969.00,6732.81,6173.30,4630.00,1407.91,141389.00,82.00,77.55,120.01,16.33,0.52,0.09
,0.17,143.58,30.11,0.00,1.92,8534.00,6074.00,4757.00,4757.00,1740.93,18222.00,14.00,77.54,119.69,16.65,0.71,0.00
,2.74,144.86,29.99,0.37,0.40,12792.00,7983.00,7524.56,5503.00,1652.69,223524.00,100.00,79.84,119.63,17.25,0.49,0.15
,0.48,144.98,28.96,0.39,0.38,11749.00,8287.00,7127.20,6627.00,2029.77,33148.00,18.00,78.39,120.84,16.46,0.70,0.02
,0.86,144.81,28.98,0.23,0.77,9042.00,6970.60,6963.90,5269.00,1079.54,69706.00,34.00,78.16,120.71,17.02,0.73,0.05
,0.36,145.30,28.67,0.26,0.00,5957.00,5146.60,4878.05,4569.00,493.84,25733.00,22.00,78.27,121.18,17.40,0.57,0.01
,4.32,143.98,30.15,0.16,0.49,14244.00,9496.79,8924.53,6843.00,1925.18,370375.00,138.00,78.66,119.40,16.93,0.42,0.23
,0.49,143.76,30.28,0.29,0.46,9346.00,7910.60,7577.05,6327.00,1016.66,39553.00,22.00,78.26,119.42,16.78,0.73,0.02
,0.42,143.66,30.42,0.16,0.84,9986.00,7381.25,6167.61,6107.00,1572.40,29525.00,18.00,78.04,119.39,17.13,0.73,0.02
,0.51,144.09,29.62,0.29,0.46,9323.00,6792.20,6360.95,5268.00,1347.45,33961.00,22.00,77.71,120.12,17.09,0.78,0.02
,0.34,144.01,29.62,0.29,0.46,4955.00,4622.60,4483.98,4172.00,290.90,23113.00,22.00,77.37,120.18,17.64,0.65,0.01
,0.19,145.20,29.06,0.25,0.44,6985.00,6133.67,5352.00,5352.00,668.49,18401.00,14.00,78.85,120.76,16.81,0.74,0.00
,0.45,145.22,28.89,0.23,0.37,8221.00,7033.75,7315.16,5248.00,1092.90,28135.00,18.00,78.70,120.83,17.15,0.70,0.02
,3.00,144.48,29.83,0.23,0.73,16667.00,9497.07,9078.50,6549.00,2195.72,284912.00,102.00,78.89,119.75,17.60,0.50,0.17
,7.40,144.28,30.43,0.42,0.44,18147.00,9276.18,9031.41,5533.00,2252.71,825580.00,270.00,79.75,118.92,17.73,0.43,0.54
,0.30,143.59,31.15,0.25,0.44,10579.00,8708.33,6808.00,6808.00,1539.65,26125.00,14.00,79.03,118.70,16.83,0.63,0.01
,6.51,143.67,30.84,0.25,0.65,15732.00,9642.72,9460.79,5239.00,2309.39,752132.00,234.00,79.06,118.60,18.01,0.45,0.48
,21.11,144.27,30.59,0.14,0.90,33378.00,11489.80,10128.50,5823.00,4453.34,3975490.00,822.00,80.00,118.35,20.17,0.39,2.19
,0.35,143.33,31.76,0.16,0.84,7858.00,7214.75,7061.07,6629.00,444.21,28859.00,18.00,79.10,118.07,18.61,0.72,0.01
,0.26,143.96,31.74,0.39,0.47,9733.00,7883.00,6271.00,6271.00,1423.34,23649.00,14.00,80.28,118.07,18.45,0.85,0.01
,0.20,143.37,32.25,0.22,0.61,5789.00,5435.75,5663.16,4550.00,513.18,21743.00,18.00,79.95,117.52,18.75,0.85,0.01
,0.76,143.83,31.62,0.09,0.57,10277.00,8359.43,8119.77,5859.00,1394.72,58516.00,30.00,79.36,118.12,20.91,0.65,0.03
,2.63,144.25,30.42,0.51,0.25,13258.00,9052.85,8639.83,6136.00,1931.86,235374.00,92.00,79.09,119.20,18.56,0.50,0.14
,0.41,144.57,30.48,0.44,0.21,17157.00,9808.50,7512.76,6184.00,4313.80,39234.00,18.00,79.44,119.27,19.07,0.76,0.02
,0.32,144.16,30.46,0.25,0.44,8607.00,7748.00,7163.00,7163.00,620.53,23244.00,14.00,78.72,119.38,18.29,0.70,0.01
,0.35,144.56,30.14,0.80,0.13,9713.00,7348.25,6685.42,6190.00,1384.40,29393.00,16.00,78.94,119.64,18.74,0.79,0.01
,0.30,144.85,29.89,0.26,0.70,5846.00,5265.40,4802.77,4643.00,464.66,26327.00,20.00,78.90,119.93,19.28,0.71,0.01
,0.48,143.47,31.75,0.33,0.43,10139.00,8040.40,7005.63,6168.00,1595.46,40202.00,22.00,79.04,118.07,19.85,0.68,0.02
,2.13,143.80,31.36,0.19,0.53,13333.00,9149.17,8421.30,6818.00,1638.78,210431.00,76.00,79.28,118.26,20.25,0.53,0.11
,0.30,140.74,13.88,0.27,0.00,9218.00,6665.67,5073.00,5073.00,1823.18,19997.00,14.00,33.20,135.96,14.82,0.71,0.01
,0.28,140.37,14.30,0.39,0.47,6298.00,5606.67,4959.00,4959.00,547.52,16820.00,14.00,33.28,135.46,15.70,0.77,0.01
,0.41,138.56,15.81,0.39,0.38,6751.00,5481.50,5131.85,4254.00,912.58,21926.00,18.00,32.40,133.96,14.31,0.74,0.02
,0.87,138.82,15.61,0.15,0.69,7611.00,5964.11,5893.55,4425.00,1032.37,53677.00,36.00,32.61,134.15,14.56,0.70,0.04
,1.43,140.06,14.65,0.45,0.42,8113.00,6258.33,6044.04,5250.00,767.74,93875.00,62.00,33.55,135.09,15.51,0.51,0.06
,3.51,140.71,13.92,0.29,0.63,10000.00,6450.03,5946.34,4888.00,1279.27,251551.00,142.00,33.87,135.62,16.07,0.46,0.20
,0.25,140.83,13.93,0.25,0.44,6035.00,5382.33,4799.00,4799.00,506.97,16147.00,14.00,33.31,135.86,16.29,0.72,0.01
,0.21,140.48,14.48,0.25,0.44,5657.00,5061.00,4195.00,4195.00,626.65,15183.00,14.00,33.53,135.38,16.84,0.67,0.00
,0.14,140.37,14.48,0.00,1.92,5524.00,4377.33,3614.00,3614.00,825.52,13132.00,14.00,32.97,135.38,16.94,0.63,0.00
,0.20,140.92,13.85,0.47,0.32,5369.00,4532.50,4185.22,3966.00,535.00,18130.00,18.00,33.34,135.87,16.95,0.76,0.01
,3.71,140.73,14.20,0.47,0.38,11521.00,6543.27,5894.98,4391.00,1713.99,261731.00,140.00,35.22,135.32,15.88,0.44,0.20
,0.20,140.34,15.04,0.12,0.93,5485.00,5279.00,5075.00,5075.00,167.39,15837.00,14.00,35.39,134.81,16.36,0.54,0.00
,0.19,140.48,14.36,0.39,0.47,6869.00,5552.67,4739.00,4739.00,939.41,16658.00,14.00,34.08,135.44,15.16,0.74,0.01
,0.43,140.69,14.33,0.03,0.98,7935.00,6904.00,5882.00,5882.00,838.16,20712.00,14.00,34.49,135.51,15.49,0.60,0.01
,0.85,140.64,13.88,0.42,0.44,9073.00,6536.00,6794.34,4551.00,1355.92,52288.00,32.00,32.99,135.80,15.74,0.73,0.05
,0.12,140.93,13.77,0.12,0.93,4980.00,4415.00,3872.00,3872.00,452.61,13245.00,14.00,32.81,136.11,16.06,0.60,0.00
,2.92,140.46,14.90,0.29,0.55,9390.00,6251.59,5752.49,4463.00,1306.95,181296.00,112.00,35.93,134.78,16.53,0.43,0.13
,0.90,140.52,14.63,0.43,0.28,9150.00,6779.33,5943.11,5565.00,1119.57,61014.00,36.00,35.49,134.96,16.51,0.71,0.05
,0.41,140.91,14.54,0.54,0.32,7740.00,6290.60,5182.00,5182.00,986.21,31453.00,22.00,35.69,135.24,17.16,0.79,0.02
,0.42,140.11,14.90,0.36,0.29,7410.00,6381.50,6077.03,5614.00,658.92,25526.00,16.00,34.55,134.92,15.25,0.79,0.02
,1.19,140.34,14.74,0.55,0.15,10466.00,7725.70,7359.25,5842.00,1322.26,77257.00,42.00,34.68,135.03,16.11,0.59,0.05
,1.80,140.71,14.20,0.63,0.13,15282.00,6898.53,5896.69,5271.00,2275.19,117275.00,70.00,34.83,135.31,16.65,0.44,0.07
,0.68,140.64,14.40,0.21,0.38,9416.00,7611.00,8294.00,5192.00,1673.17,45666.00,26.00,34.44,135.35,16.59,0.69,0.03
,0.35,140.03,15.23,0.32,0.46,6764.00,5648.50,5475.01,4206.00,948.91,22594.00,18.00,34.83,134.57,16.88,0.67,0.01
,0.64,140.44,14.52,0.61,0.23,7093.00,5630.00,5370.16,4452.00,957.86,45040.00,34.00,34.03,135.21,16.77,0.56,0.02
,2.01,140.69,14.43,0.24,0.72,14983.00,7058.62,6446.78,4866.00,2227.69,148231.00,82.00,35.25,135.18,16.70,0.50,0.10
,0.24,140.40,15.38,0.16,0.40,4678.00,4274.75,4110.52,3933.00,280.90,17099.00,18.00,36.86,134.51,16.10,0.61,0.01
,0.41,140.39,15.38,0.13,0.47,6481.00,5218.40,4451.14,4360.00,773.09,26092.00,22.00,37.09,134.40,16.45,0.63,0.01
,0.25,140.60,15.19,0.39,0.47,9440.00,6590.67,4995.00,4995.00,2019.62,19772.00,14.00,36.86,134.62,16.96,0.82,0.01
,0.32,140.78,14.96,0.25,0.44,8531.00,6462.67,5131.00,5131.00,1482.57,19388.00,14.00,36.67,134.85,17.03,0.75,0.01
,0.15,140.38,15.21,0.25,0.44,5231.00,5007.33,4855.00,4855.00,161.57,15022.00,14.00,36.25,134.53,17.09,0.63,0.00
,0.26,140.20,15.49,0.39,0.47,6773.00,6089.00,5487.00,5487.00,528.20,18267.00,14.00,36.36,134.30,17.25,0.86,0.01
,0.22,140.66,15.11,0.25,0.44,5962.00,5505.00,5156.00,5156.00,337.80,16515.00,14.00,36.25,134.72,17.91,0.64,0.01
,0.59,140.53,14.91,0.69,0.13,7539.00,6386.29,5322.68,5145.00,1020.88,44704.00,28.00,35.81,134.79,17.25,0.82,0.03
,3.85,140.76,14.77,0.47,0.34,11626.00,7115.82,6683.16,4749.00,1868.29,313096.00,144.00,36.96,134.67,17.67,0.51,0.26
,0.29,140.89,14.31,0.25,0.44,8967.00,6856.33,5044.00,5044.00,1615.39,20569.00,14.00,34.54,135.53,16.94,0.71,0.01
,2.51,141.08,13.99,0.29,0.65,10375.00,6919.40,6386.75,4439.00,1539.32,172985.00,92.00,34.90,135.56,17.60,0.55,0.15
,0.33,140.72,14.88,0.25,0.44,7428.00,6726.33,6345.00,6345.00,496.77,20179.00,14.00,35.73,134.95,17.77,0.76,0.01
,1.46,141.21,14.09,0.29,0.63,8772.00,5640.50,5169.95,4463.00,1242.42,90248.00,64.00,35.27,135.51,18.19,0.54,0.07
,7.86,140.74,14.94,0.28,0.67,17048.00,7677.59,6685.71,4935.00,2471.36,813825.00,304.00,37.11,134.49,18.56,0.44,0.61
,0.77,151.54,4.22,0.23,0.36,9758.00,7382.14,7136.36,5537.00,1233.77,51675.00,30.00,39.74,145.51,14.67,0.69,0.04
,1.20,152.92,2.47,0.23,0.67,11473.00,7681.50,6931.59,5660.00,1621.08,92178.00,50.00,38.86,147.21,14.31,0.54,0.05
,0.70,154.52,0.64,0.40,0.37,9204.00,5927.50,5114.77,4896.00,1294.31,59275.00,38.00,38.72,148.99,13.44,0.66,0.03
,0.22,154.95,0.42,0.39,0.47,7722.00,5574.00,4358.00,4358.00,1523.28,16722.00,14.00,39.07,149.38,13.05,0.84,0.01
,3.79,154.68,0.30,0.59,0.27,11901.00,6404.34,5855.91,4315.00,1543.39,262578.00,160.00,38.89,149.01,14.46,0.41,0.18
,0.11,155.19,0.34,0.25,0.44,4583.00,4283.00,4077.00,4077.00,217.01,12849.00,14.00,39.11,149.55,13.70,0.63,0.00
,0.38,154.22,1.31,0.25,0.44,7238.00,7122.00,6988.00,6988.00,102.85,21366.00,14.00,38.88,148.45,15.34,0.73,0.01
,0.69,155.03,0.01,0.06,0.34,7072.00,6105.86,5397.25,5216.00,732.01,42741.00,30.00,37.71,149.74,13.81,0.45,0.02
,0.40,150.26,6.14,0.46,0.00,7757.00,6414.40,5502.82,4767.00,1142.13,32072.00,22.00,41.45,143.67,14.85,0.72,0.01
,2.00,152.64,3.44,0.18,0.23,13233.00,7170.68,7139.56,4801.00,1918.98,157755.00,76.00,40.85,146.28,15.20,0.55,0.11
,0.27,150.21,5.81,0.32,0.46,6164.00,5339.00,4912.00,4912.00,511.18,21356.00,18.00,40.42,143.90,14.92,0.75,0.01
,0.25,151.22,4.97,0.25,0.44,7672.00,6642.00,5942.00,5942.00,743.82,19926.00,14.00,40.76,144.85,15.02,0.73,0.01
,1.00,150.85,5.15,0.18,0.62,7807.00,6775.44,6315.04,5878.00,668.00,60979.00,38.00,40.24,144.56,15.48,0.61,0.05
,0.69,150.62,5.55,0.24,0.23,8537.00,6807.86,6502.04,5064.00,1122.52,47655.00,30.00,40.43,144.24,15.71,0.65,0.03
,0.37,150.27,5.98,0.54,0.15,8280.00,6191.60,5102.81,4891.00,1403.50,30958.00,20.00,40.64,143.75,16.31,0.67,0.01
,0.23,150.79,5.56,0.25,0.44,6996.00,6592.33,6338.00,6338.00,288.63,19777.00,14.00,40.53,144.31,16.42,0.66,0.01
,0.36,150.25,6.15,0.32,0.46,7514.00,6672.00,6170.78,5892.00,661.41,26688.00,18.00,40.81,143.63,16.73,0.75,0.01
,0.50,153.51,1.93,0.50,0.27,8111.00,6745.00,6391.49,5638.00,809.24,47215.00,30.00,38.78,147.85,14.26,0.76,0.02
,3.55,153.49,1.90,0.32,0.59,10757.00,7161.97,6894.01,5106.00,1483.09,264993.00,132.00,39.13,147.65,15.05,0.46,0.20
,0.28,153.96,1.64,0.80,0.13,9540.00,6829.50,6085.24,5574.00,1579.72,27318.00,16.00,39.11,148.17,14.85,0.89,0.01
,1.24,154.91,0.56,0.30,0.61,8998.00,6388.14,5997.75,4634.00,1516.04,89434.00,54.00,39.15,149.10,15.25,0.64,0.07
,0.99,149.47,6.74,0.87,0.06,7197.00,5777.10,5817.49,4710.00,724.69,57771.00,42.00,41.19,142.86,15.36,0.51,0.03
,3.08,151.69,4.06,0.33,0.57,12277.00,7798.33,7074.29,5376.00,1964.97,280740.00,122.00,39.78,145.57,15.33,0.54,0.20
,0.21,151.55,4.56,0.12,0.93,6700.00,6464.67,6347.00,6347.00,166.41,19394.00,14.00,40.32,145.34,14.86,0.57,0.00
,0.23,152.12,3.81,0.39,0.38,6255.00,6050.75,6049.54,5813.00,157.60,24203.00,18.00,39.66,146.03,15.54,0.73,0.01
,2.10,151.93,3.95,0.48,0.29,11872.00,8951.22,8492.31,6104.00,1614.80,161122.00,70.00,40.40,145.61,15.74,0.54,0.11
,1.24,152.57,3.63,0.58,0.11,8617.00,6716.50,6693.59,4800.00,1307.53,80598.00,50.00,41.15,146.18,14.72,0.56,0.05
,1.11,152.39,3.76,0.18,0.30,12107.00,9218.50,8218.68,6868.00,1954.51,73748.00,34.00,40.83,146.04,15.08,0.62,0.05
,0.12,152.64,3.81,0.39,0.47,4980.00,4805.00,4706.00,4706.00,124.10,14415.00,14.00,41.57,146.03,15.74,0.80,0.00
,0.32,150.86,5.69,0.00,1.98,7238.00,6488.00,5438.00,5438.00,764.85,19464.00,14.00,41.66,144.16,15.56,0.62,0.01
,0.61,151.09,5.25,0.51,0.22,7893.00,7087.60,6713.80,5867.00,733.15,35438.00,22.00,41.42,144.50,15.27,0.60,0.02
,1.29,150.96,5.42,0.24,0.64,11490.00,7940.00,6934.59,6091.00,1625.36,87340.00,46.00,41.37,144.33,15.72,0.50,0.05
,3.22,151.36,4.65,0.13,0.80,12860.00,7656.56,7371.43,5265.00,1774.60,260323.00,124.00,40.50,144.90,16.55,0.46,0.17
,0.26,151.81,4.67,0.25,0.44,6919.00,5486.00,4100.00,4100.00,1151.33,16458.00,14.00,41.87,145.18,14.69,0.70,0.01
,2.77,151.67,4.61,0.38,0.50,11561.00,6518.47,5999.62,4107.00,1729.43,221628.00,114.00,42.16,144.82,15.88,0.54,0.17
,1.86,151.90,4.07,0.37,0.52,15113.00,7713.36,6744.11,5918.00,1919.30,192834.00,80.00,40.82,145.44,15.90,0.65,0.13
,0.85,150.53,5.96,0.46,0.35,13213.00,7835.78,6090.04,5519.00,2438.91,70522.00,36.00,41.71,143.75,16.02,0.59,0.03
,0.53,150.85,5.71,0.13,0.51,10441.00,7737.80,6800.32,6146.00,1542.62,38689.00,22.00,41.83,144.03,16.16,0.63,0.02
,0.88,151.65,4.25,0.49,0.24,8671.00,6071.64,5382.62,4896.00,1303.11,66788.00,44.00,39.61,145.48,16.27,0.53,0.03
,0.59,152.18,3.79,0.55,0.31,7494.00,5268.25,4878.63,4078.00,970.88,42146.00,34.00,39.45,146.04,16.58,0.58,0.02
,0.13,151.78,4.29,0.25,0.44,4527.00,4455.00,4370.00,4370.00,64.76,13365.00,14.00,39.33,145.63,16.83,0.45,0.00
,0.27,152.09,3.55,0.47,0.32,6110.00,4890.75,4426.55,4124.00,755.96,19563.00,18.00,38.56,146.24,16.04,0.82,0.01
,0.25,150.00,6.77,0.25,0.44,9232.00,6137.33,4413.00,4413.00,2193.03,18412.00,14.00,42.24,143.01,16.26,0.74,0.01
,3.90,151.28,4.86,0.36,0.48,12184.00,8309.50,7981.43,6305.00,1547.27,348999.00,146.00,41.23,144.64,16.35,0.45,0.22
,1.44,152.02,4.15,0.32,0.50,12470.00,7456.50,6285.39,5106.00,2112.87,119304.00,60.00,40.69,145.52,16.69,0.59,0.07
,0.30,152.16,4.10,0.25,0.44,6375.00,6000.33,5352.00,5352.00,460.29,18001.00,14.00,40.14,145.77,17.07,0.67,0.01
,5.17,150.13,6.45,0.21,0.52,13185.00,7182.97,6445.31,4337.00,2101.93,438161.00,208.00,42.43,142.95,17.38,0.41,0.29
,0.21,149.91,7.31,0.32,0.46,5415.00,5257.50,5202.61,5021.00,159.03,21030.00,18.00,42.64,142.47,18.84,0.71,0.01
,1.96,151.25,5.10,0.19,0.68,16585.00,8766.64,8006.84,6371.00,2080.55,219166.00,72.00,41.29,144.46,17.36,0.64,0.13
,2.16,151.62,4.83,0.41,0.34,11460.00,7659.48,7273.67,5849.00,1538.27,160849.00,82.00,41.75,144.74,17.20,0.52,0.11
,0.20,151.72,5.11,0.00,1.98,6248.00,5908.33,5565.00,5565.00,278.84,17725.00,14.00,42.10,144.75,17.20,0.51,0.00
,0.24,150.73,5.69,0.80,0.13,9409.00,7013.75,6139.81,5786.00,1422.42,28055.00,16.00,40.73,144.12,16.96,0.84,0.01
,0.75,151.29,4.98,0.38,0.51,10914.00,7431.90,6635.48,5597.00,1677.21,74319.00,34.00,40.69,144.68,17.29,0.80,0.04
,1.88,151.62,4.69,0.48,0.36,10200.00,6848.05,6527.25,4888.00,1466.44,136961.00,82.00,40.81,144.95,17.66,0.51,0.09
,11.25,150.84,5.42,0.16,0.71,29729.00,11266.20,9609.78,5884.00,4626.85,2005380.00,436.00,41.61,143.91,17.64,0.46,1.11
,0.29,150.25,6.58,0.25,0.44,8159.00,6747.67,5816.00,5816.00,1014.88,20243.00,14.00,42.03,143.27,16.74,0.70,0.01
,0.50,148.45,8.73,0.34,0.46,7755.00,6408.00,5492.35,5192.00,1044.05,32040.00,18.00,42.34,141.07,18.55,0.75,0.02
,0.41,148.80,8.46,0.25,0.44,8807.00,7464.67,6407.00,6407.00,1000.26,22394.00,14.00,42.44,141.38,18.82,0.74,0.02
,2.71,150.39,6.37,0.24,0.35,12217.00,8532.33,7506.03,5836.00,1974.81,179179.00,88.00,42.18,143.20,18.19,0.45,0.13
,4.66,150.90,5.41,0.35,0.45,17961.00,8671.54,7706.44,5340.00,3050.84,398891.00,180.00,41.46,143.85,18.96,0.42,0.26
